ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5903887803991||Meat mincer #5 with a shredder|638|||||EUR
|5905575900692||Vegetable slicer AD 4815|0|||||EUR
|5908256832299||Iron travel 700 W|4421|||||EUR
|5908256833364||Iron non-stick soleplate 1600 W|999|||||EUR
|5908256834293||Iron steel soleplate  Max power 3000 W|1455|||||EUR
|5902934831048||Iron ceramic soleplate 3000 W|1729|||||EUR
|5902934833776||Iron ceramic 3000 W|2129|||||EUR
|5905575905673||Garment steamer|742|||||EUR
|5905575906281||Cordless Steam Iron|2047|||||EUR
|5905575906304||2 in 1 Garment steamer & iron|1891|||||EUR
|5908256839755||Bread maker - 15 Programs|407|||||EUR
|5905575900722||Electric oven 26L|232|||||EUR
|5905575902023||Electric oven 22L|267|||||EUR
|5905575906632||Electric oven 35L|513|||||EUR
|5905575906649||Electric oven 48L|247|||||EUR
|5905575906656||Electric oven 48L|270|||||EUR
|5905575906663||Electric oven 60L|133|||||EUR
|5905575908094||Electric oven 14L|1250|||||EUR
|5903887801218||Oven microwave 20 L|1669|||||EUR
|5905575904591||Oven microwave 20 L|0|||||EUR
|5903887803168||Airfryer Oven 8in1 13 Liters|1680|||||EUR
|5903887803250||Airfryer 3,0 L|4925|||||EUR
|5905575904621||Airfryer Oven 2,5 liters|2218|||||EUR
|5905575904065||Electric pizza oven|352|||||EUR
|5905575906328||Dual Air Fryer Oven|0|||||EUR
|5905575907233||Air Fryer Oven with glass bowl 3L|1026|||||EUR
|5906843080146||Air Fryer Oven 12 programs 5,5 liters|899|||||EUR
|5906843080153||"Air Fryer 8.0 L | 9 Preset Programs | Convection Technology | LED Display |"|0|||||EUR
|5901436590316||Steam cooker|87|||||EUR
|5908256835696||Rice cooker - capacity 1.5L|1792|||||EUR
|5903887809528||Slow cooker 5,8L|0|||||EUR
|5905575901354||Slow cooker 5,8L|0|||||EUR
|5903887804066||Sous vide Slow Cooker|15|||||EUR
|5905575901798||Rice cooker|1084|||||EUR
|5905575902450||Multi-cooker 6 in 1 - 3,25 L|1254|||||EUR
|5905575904584||2-in-1 breakfast station|1545|||||EUR
|5908256834460||Hot Plate|5799|||||EUR
