ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5905575901576||Espresso coffee maker|1348|||||EUR
|5905575907196||Espresso coffee maker|1909|||||EUR
|5901436590309||Coffee grinder|2614|||||EUR
|5903887800464||Coffee Mill|915|||||EUR
|5903887800433||Coffee Mill|2714|||||EUR
|5903887800440||Coffee Mill|2855|||||EUR
|5903887800457||Coffee Mill|3646|||||EUR
|5903887806169||Burr coffee grinder|809|||||EUR
|5903887809764||Electric Salt and Pepper Grinder - Set - 3 grinders - USB|536|||||EUR
|5903887809788||Electric Salt and Pepper Grinder - Set - 3 grinders - USB|884|||||EUR
|5903887809801||Salt and Pepper Grinder|0|||||EUR
|5903887809900||Salt and Pepper Grinder|0|||||EUR
|5903887803236||Burr coffee grinder|931|||||EUR
|5908256835412||Egg boiler for 7 eggs|1305|||||EUR
|5908256838697||Electric lunchbox - 1.1L|209|||||EUR
|5908256838703||Electric lunchbox - 1L|816|||||EUR
|5908256839472||Yogurt Maker +7 glass jars|0|||||EUR
|5908256839533||Milk frother - heater|629|||||EUR
|5908256839557||Popcorn maker|352|||||EUR
|5902934831451||Egg boiler for 8 eggs|1213|||||EUR
|5902934839082||Chocolate Fountain|1269|||||EUR
|5902934839112||Knife sharpener AD 4489|753|||||EUR
|5902934839723||Electric wine opener|579|||||EUR
|5903887801034||Milk frother|83|||||EUR
|5905575901255||Milk frother black - frothing and heating (latte and cappucino)|1177|||||EUR
|5905575901279||Milk frother dark - frothing and heating (latte and cappucino)|817|||||EUR
|5903887809726||Milk frother white - frothing and heating (latte and cappucino)|908|||||EUR
|5903887809740||Milk frother - frothing and heating (latte and cappucino)|620|||||EUR
|5903887801843||Electric pasteurization pot 28L|470|||||EUR
|5903887803625||Milk frother - frothing and heating|339|||||EUR
|5903887806053||Milk frother with a stand|2429|||||EUR
|5903887806077||Milk frother with a stand|4417|||||EUR
|5903887808071||Vacuum sealer|0|||||EUR
|5905575900395||Electric lunch box|580|||||EUR
|5905575900371||Electric lunch box|1066|||||EUR
|5905575900791||Thermal flask LED 473ml black|2026|||||EUR
|5905575900838||Thermal flask LED 473ml blue|3533|||||EUR
|5905575900814||Thermal flask LED 473ml pink|2880|||||EUR
|5905575900777||Thermal flask LED 473ml white|3451|||||EUR
|5905575902368||Electric Knife Sharpener|516|||||EUR
|5905575902900||Electric Wine Opener – set|1336|||||EUR
|5905575903365||Popcorn machine|410|||||EUR
|5905575903341||Electric knife|644|||||EUR
|5905575906038||Food vacuum air extracting set|1344|||||EUR
|5905575906052||Vacuum bags set|929|||||EUR
|5905575906076||Vacuum bags set|445|||||EUR
|5905575906090||Food vacuum air extracting set|1041|||||EUR
|5905575905871||Knife sharpener electric|1370|||||EUR
|5905575906878||Electric lunch box with 5 litres thermal bag|1405|||||EUR
|5905575906892||Electric lunch box with thermal bag 5 litres|1443|||||EUR
|5905575906915||Electric lunch box with thermal bag 5 litres|1456|||||EUR
|5905575906953||Thermal bag - 10 L|1133|||||EUR
|5902934831291||Hand Blender|2564|||||EUR
|5908256839816||Hand blender|2000|||||EUR
|5903887801898||Hand blender|0|||||EUR
|5903887800051||Hand blender - set|4210|||||EUR
|5902934833448||Blender hand|3514|||||EUR
|5902934839013||Hand blender|3005|||||EUR
|5902934838993||Hand blender|3375|||||EUR
|5905575901712||Hand blender set|0|||||EUR
|5905575902047||Hand Blender with Turbo Function and Ice Crushing|1104|||||EUR
|5903887804561||Food Slicer AD 4703|655|||||EUR
|5908256832060||Meat mincer|42|||||EUR
|5902934830232||Meat mincer|1512|||||EUR
|5902934838207||Meat mincer|962|||||EUR
|5903887803991||Meat mincer #5 with a shredder|638|||||EUR
|5905575900692||Vegetable slicer AD 4815|0|||||EUR
|5908256832299||Iron travel 700 W|4176|||||EUR
|5908256833364||Iron non-stick soleplate 1600 W|944|||||EUR
|5908256834293||Iron steel soleplate  Max power 3000 W|1527|||||EUR
|5902934831048||Iron ceramic soleplate 3000 W|1692|||||EUR
|5902934833776||Iron ceramic 3000 W|2096|||||EUR
|5905575905673||Garment steamer|634|||||EUR
|5905575906281||Cordless Steam Iron|2047|||||EUR
|5905575906304||2 in 1 Garment steamer & iron|1888|||||EUR
|5908256839755||Bread maker - 15 Programs|404|||||EUR
|5905575900722||Electric oven 26L|230|||||EUR
|5905575902023||Electric oven 22L|260|||||EUR
|5905575906632||Electric oven 35L|501|||||EUR
|5905575906649||Electric oven 48L|244|||||EUR
|5905575906656||Electric oven 48L|270|||||EUR
|5905575906663||Electric oven 60L|131|||||EUR
|5905575908094||Electric oven 14L|1246|||||EUR
|5903887801218||Oven microwave 20 L|1579|||||EUR
|5905575904591||Oven microwave 20 L|9|||||EUR
|5903887803168||Airfryer Oven 8in1 13 Liters|1679|||||EUR
|5903887803250||Airfryer 3,0 L|4934|||||EUR
|5905575904621||Airfryer Oven 2,5 liters|2222|||||EUR
|5905575904065||Electric pizza oven|342|||||EUR
