Link;Price;Currency;Available_in_warehouse_pcs;EAN_PCS;Product_name
ad_1273;8.31;EUR;1217;5902934830911;Kettle metal 1,0 L
ad_1274b;8.79;EUR;0;5902934830973;Kettle glass electric 1,7L
ad_1274w;8.79;EUR;1632;5902934830966;Kettle glass electric 1,7L
ad_1277b;10.30;EUR;1283;5902934831222;Kettle plastic 1,7 L
ad_1277w;10.30;EUR;1746;5902934831239;Kettle plastic 1,7 L
ad_1279;8.98;EUR;9511;5902934831512;Kettle plastic 0,6 L - silicon travel
ad_1282;17.29;EUR;626;5903887803199;Kettle glass 1,5L STRIX
ad_1283c;7.60;EUR;2464;5902934833394;Kettle glass electric 1,0L
ad_1283g;7.60;EUR;4001;5902934833417;Kettle glass electric 1,0L
ad_1285;16.43;EUR;0;5903887804592;Kettle glass 1,7 l - with temp. control 
ad_1295b;16.83;EUR;1598;5902934839266;SS satin black kettle 1,7L with LCD display & temperature regulation
ad_1295;16.83;EUR;208;5902934838849;SS champion gold kettle 1,7L with LCD display & temperature regulation
ad_1295g;16.83;EUR;1937;5905575902948;SS satin grey kettle 1,7L with LCD display & temperature regulation
ad_1295w;16.83;EUR;833;5902934839242;SS satin white kettle 1,7L with LCD display & temperature regulation
ad_1299;13.35;EUR;499;5903887804615;Kettle glass 1,5 l - with temp. control  and  tea infuser
ad_1304;22.38;EUR;1253;5905575905956;Ceramic electric kettle  1,0L
ad_1305bg;11.84;EUR;1008;5905575907806;Electric kettle glass with LED display & temperature regulation 1,7L
ad_1305bs;11.84;EUR;0;5905575907783;Electric kettle glass with LED display & temperature regulation 1,7L
ad_1305bu;11.84;EUR;657;5905575907882;Electric kettle glass with LED display & temperature regulation 1,7L
ad_1305gs;11.84;EUR;432;5905575907868;Electric kettle glass with LED display & temperature regulation 1,7L
ad_1305wg;11.84;EUR;1426;5905575907844;Electric kettle glass with LED display & temperature regulation 1,7L
ad_1305ws;11.84;EUR;229;5905575907820;Electric kettle glass with LED display & temperature regulation 1,7L
ad_1340;17.08;EUR;1075;5903887805247;Electric kettle 1,7L with LCD display & temperature regulation
ad_1341;20.78;EUR;981;5903887805094;Kettle metal 1,7 L STRIX
ad_1343b;17.96;EUR;176;5903887805018;Kettle metal 1,5 L STRIX
ad_1343c;17.96;EUR;0;5903887805056;Kettle metal 1,5 L STRIX
ad_1343g;17.96;EUR;228;5903887805032;Kettle metal 1,5 L STRIX
ad_1343w;17.96;EUR;255;5903887804998;Kettle metal 1,5 L STRIX
ad_1345b;24.23;EUR;673;5903887807449;Electric kettle  with LED display & temperature regulation 1,7L STRIX
ad_1345w;23.37;EUR;511;5903887807425;Electric kettle  with LED display & temperature regulation 1,7L STRIX
ad_1346b;22.54;EUR;583;5903887808644;Electric kettle with a thermometer 1,7L STRIX
ad_1346w;22.54;EUR;494;5903887808620;Electric kettle with a thermometer 1,7L STRIX
ad_1347b;16.77;EUR;0;5903887808682;Kettle metal 1,7 L STRIX
ad_1347w;16.77;EUR;1376;5903887808668;Kettle metal 1,7 L STRIX
ad_1349;18.96;EUR;2856;5905575902535;Electric kettle with long spout 1,0 l 
ad_1350;13.22;EUR;0;5905575903389;Electric kettle  with LED display & temperature regulation 1,7L
ad_1370uk;9.01;EUR;2145;5903887806459;Kettle plastic 0,6 L - silicon travel UK plug
ad_1371g;5.88;EUR;1789;5903887809184;Kettle plastic 0,8 L
ad_1371w;5.88;EUR;3870;5903887809207;Kettle plastic 0,8 L
ad_1372b;7.86;EUR;4989;5903887809689;Electric kettle 0,6L
ad_1372w;7.86;EUR;1573;5903887809665;Electric kettle 0,6L
ad_1373;5.85;EUR;2349;5905575901613;Kettle plastic 1,0 L
ad_1377g;10.45;EUR;628;5905575906779;Silicon Kettle  0,6 L -  travel 
ad_1377w;10.45;EUR;831;5905575906793;Silicon Kettle  0,6 L -  travel 
ad_1381;5.19;EUR;2790;5905575908032;Electric Kettle plastic - travel 0,5l
ad_1903;11.43;EUR;1216;5905575904102;Wireless speaker with radio
ad_1904;10.12;EUR;1514;5905575904126;Bluetooth speaker
ad_1906;9.67;EUR;66;5905575905499;PLL AM/FM Digital Radio
ad_1907;11.12;EUR;1640;5905575905536;Digital radio PLL AM/FM 
ad_1908;12.86;EUR;1069;5905575905512;Digital Radio - PLL AM/FM
ad_1909;9.89;EUR;0;5905575904546;AM / FM Radio AD 1909
ad_1911;22.07;EUR;1149;5905575906342;Construction radio with Bluetooth
ad_1912;6.60;EUR;597;5905575906472;Waterproof universal radio AD 1912
ad_1914w;34.55;EUR;908;5905575907578;AD 1914 Turntable
ad_1914e;34.55;EUR;834;5905575907592;AD 1914 Turntable
ad_1915;53.46;EUR;722;5905575907615;Turntable with USB
ad_2022;11.54;EUR;952;5908256839649;Hair styler - 1200W - 6 attachments + travel pouch
